OBJECTID,bezirk_nam,stadtteil,ortsteilnu,bezirk,Shape__Area,Shape__Length,Shape__Area_2,Shape__Length_2
1,Hamburg-Mitte,Hamburg-Altstadt,101,1,,,,
2,Hamburg-Mitte,Hamburg-Altstadt,102,1,,,,
3,Hamburg-Mitte,HafenCity,103,1,,,,
4,Hamburg-Mitte,HafenCity,104,1,,,,
5,Hamburg-Mitte,Neustadt,105,1,,,,
6,Hamburg-Mitte,Neustadt,106,1,,,,
7,Hamburg-Mitte,Neustadt,107,1,,,,
8,Hamburg-Mitte,Neustadt,108,1,,,,
9,Hamburg-Mitte,St.Pauli,109,1,,,,
10,Hamburg-Mitte,St.Pauli,110,1,,,,
11,Hamburg-Mitte,St.Pauli,111,1,,,,
12,Hamburg-Mitte,St.Pauli,112,1,,,,
13,Hamburg-Mitte,St.Georg,113,1,,,,
14,Hamburg-Mitte,St.Georg,114,1,,,,
15,Hamburg-Mitte,Hammerbrook,115,1,,,,
16,Hamburg-Mitte,Hammerbrook,116,1,,,,
17,Hamburg-Mitte,Hammerbrook,117,1,,,,
18,Hamburg-Mitte,Hammerbrook,118,1,,,,
19,Hamburg-Mitte,Borgfelde,119,1,,,,
20,Hamburg-Mitte,Borgfelde,120,1,,,,
21,Hamburg-Mitte,Hamm,121,1,,,,
22,Hamburg-Mitte,Hamm,122,1,,,,
23,Hamburg-Mitte,Hamm,123,1,,,,
24,Hamburg-Mitte,Hamm,124,1,,,,
25,Hamburg-Mitte,Hamm,125,1,,,,
26,Hamburg-Mitte,Hamm,126,1,,,,
27,Hamburg-Mitte,Hamm,127,1,,,,
28,Hamburg-Mitte,Horn,128,1,,,,
29,Hamburg-Mitte,Horn,129,1,,,,
30,Hamburg-Mitte,Billstedt,130,1,,,,
31,Hamburg-Mitte,Billbrook,131,1,,,,
32,Hamburg-Mitte,Rothenburgsort,132,1,,,,
33,Hamburg-Mitte,Rothenburgsort,133,1,,,,
34,Hamburg-Mitte,Veddel,134,1,,,,
35,Hamburg-Mitte,Wilhelmsburg,135,1,,,,
36,Hamburg-Mitte,Wilhelmsburg,136,1,,,,
